Hashtag,tweet,split
Greta Thunberg,RT @FuckBamboni: Can we stop worshipping a teenage girl this is getting extremely weird https://t.co/LkmAdP4CnK,-0.2929215268646614
Greta Thunberg,RT @TomLondon6: You know these terrible things the Tories &amp; the mainstream media pump out about Mr Corbyn?,-0.03523035143476556
Greta Thunberg,RT @walletcheck: liberals have decided that the only necessary measure to stop climate change is to appease the child god Greta with idolat…,0.1587833660230237
Greta Thunberg,RT @MamoudouNDiaye: didn't she explicitly say she wants change not idolatry? https://t.co/7iLCeSFnP4,-0.9366870176412438
Greta Thunberg,RT @MamoudouNDiaye: didn't she explicitly say she wants change not idolatry? https://t.co/7iLCeSFnP4,0.48570891906430547
Greta Thunberg,RT @MamoudouNDiaye: didn't she explicitly say she wants change not idolatry? https://t.co/7iLCeSFnP4,-0.44415531506704714
Greta Thunberg,RT @Atenatioweren: Peak White Liberalism is Building a Mural to a Scandinavian Climate Activist while ignoring Native Stewards of the Land…,1.0699802957541646
Greta Thunberg,RT @MamoudouNDiaye: didn't she explicitly say she wants change not idolatry? https://t.co/7iLCeSFnP4,0.17607527522240288
Greta Thunberg,RT @MamoudouNDiaye: didn't she explicitly say she wants change not idolatry? https://t.co/7iLCeSFnP4,0.8349165540883203
Greta Thunberg,RT @MamoudouNDiaye: didn't she explicitly say she wants change not idolatry? https://t.co/7iLCeSFnP4,0.23404353340754294
Greta Thunberg,RT @MamoudouNDiaye: didn't she explicitly say she wants change not idolatry? https://t.co/7iLCeSFnP4,-2.9782228069207517
Greta Thunberg,RT @MamoudouNDiaye: didn't she explicitly say she wants change not idolatry? https://t.co/7iLCeSFnP4,0.7431999325979766
Greta Thunberg,RT @qgotnorings: liberal idolatry in place of structural change is one of the best ways to co-opt a movement/growing sentiment. https://t.c…,0.8100514200499667
Greta Thunberg,RT @inthecopa: Patriots! Don’t be triggered! It’s only SF — s__thole sanctuary slum.,0.9186355392072515
Greta Thunberg,Haven't the residents of SF suffered enough without being tormented by this eyesore?,-0.7551873531906064
Greta Thunberg,Quite right Baroness Thatcher. Unfortunately Conservative MPs are five times as likely to vote against climate acti… https://t.co/Eu8CJ5fsR1,0.3252912345788669
Greta Thunberg,RT @EmmaVigeland: She probably hates this https://t.co/v7i98Uh0La,0.08289091161971042
Greta Thunberg,RT @dearnonnatives: The way y’all idolize white people for doing the same thing Black and Indigenous people have already BEEN doing. https:…,-1.1194788909399236
Greta Thunberg,New song out - Fremen.,-0.05500773605577401
Greta Thunberg,RT @BrandonStraka: The leftist geniuses in San Francisco have decided to send a message about climate change by creating a 6 story mural of…,-2.0731260309786945
Greta Thunberg,RT @walletcheck: liberals have decided that the only necessary measure to stop climate change is to appease the child god Greta with idolat…,-1.4712302330320064
Greta Thunberg,OMG really 🙄,-0.7161751995040485
Greta Thunberg,Might want to consider taking that down before the building  commits suicide?,1.3279467285182658
Greta Thunberg,RT @MatthewACherry: I’m waiting on the @LittleMissFlint mural myself https://t.co/wp9MvLT5Df,0.5839869491222855
Greta Thunberg,When they figure out this is impacting their tourism dollars,-0.5448920622491729
Greta Thunberg,RT @TomLondon6: You know these terrible things the Tories &amp; the mainstream media pump out about Mr Corbyn?,-0.2084232965936681
Greta Thunberg,RT @MamoudouNDiaye: didn't she explicitly say she wants change not idolatry? https://t.co/7iLCeSFnP4,0.239449337119856
Greta Thunberg,RT @FuckBamboni: Can we stop worshipping a teenage girl this is getting extremely weird https://t.co/LkmAdP4CnK,1.22424435145958
Greta Thunberg,RT @MamoudouNDiaye: didn't she explicitly say she wants change not idolatry? https://t.co/7iLCeSFnP4,1.3968962764491761
Greta Thunberg,RT @inthecopa: Patriots! Don’t be triggered! It’s only SF — s__thole sanctuary slum.,0.4276824991593249
Greta Thunberg,RT @walletcheck: liberals have decided that the only necessary measure to stop climate change is to appease the child god Greta with idolat…,0.5549210030004638
Greta Thunberg,RT @anniefryman: San Francisco subsidizes street parking  for personal vehicles to the tune of $800 million per year. https://t.co/KFn1wAsC…,-1.3565955572157626
Greta Thunberg,Pictures of Greta Thunberg are being used to shame office workers who use single-use plastic https://t.co/EosYzeXIJ4 via @yahooindia,1.5070136080825451
Greta Thunberg,RT @la_cates: A huge,0.23912698380647973
Greta Thunberg,RT @piersmorgan: Why are they turning her into Vladimir Putin? https://t.co/LNJFUqa7io,-1.3682614126964237
Greta Thunberg,RT @walletcheck: liberals have decided that the only necessary measure to stop climate change is to appease the child god Greta with idolat…,0.6638606958158281
Greta Thunberg,RT @inthecopa: Patriots! Don’t be triggered! It’s only SF — s__thole sanctuary slum.,-0.013108748019396032
Greta Thunberg,RT @walletcheck: liberals have decided that the only necessary measure to stop climate change is to appease the child god Greta with idolat…,-0.24416327012987893
Greta Thunberg,RT @MatthewACherry: I’m waiting on the @LittleMissFlint mural myself https://t.co/wp9MvLT5Df,1.5105006531005545
climatechange,post the text here,1.2430185266820677
climatechange,post the text here,-0.4815473019692604
Greta Thunberg,RT @ConservaMomUSA: Thank you @POTUS @realDonaldTrump for giving #GretaThunberg’s angsty,0.17759892971971478
Greta Thunberg,RT @GretaThunberg: Today at 11:30 I and 15 other children from around the world filed a legal complaint against 5 nations over the climate…,-1.178472325609653
Greta Thunberg,RT @JoeTalkShow: Greta Thunberg is a tool of the left and her parents and community are allowing her to be used as a puppet.  She didn't st…,-0.6336630978530232
Greta Thunberg,"RT @kylegriffin1: Greta Thunberg at #UNGA: ""This is all wrong. I shouldn’t be up here. I should be in school on the other side of the ocean…",-1.0504800814725297
Greta Thunberg,RT @adamcbest: When conservatives attack young activists like David Hogg and Greta Thunberg what they are really saying is “Hey,-1.0828030089934673
Greta Thunberg,RT @Rschooley: Weird how some people who have a conniption if even the name of Trump's youngest son is mentioned in a tweet seem pretty oka…,-0.4523795621451593
Greta Thunberg,RT @RealCandaceO: One day,-2.245175510389042
Greta Thunberg,RT @DogginTrump: All you #MAGA assholes attacking young activists like David Hogg &amp; Greta Thunberg,0.11535316155816647
Greta Thunberg,"RT @CBSNews: Greta Thunberg to world leaders: ""You are still not mature enough to tell it like it is. You are failing us. Young people are…",0.2927354469406854
Greta Thunberg,RT @RealCandaceO: One day,-0.6596123227774734
Greta Thunberg,RT @JohnWHuber: I don’t care if she’s 16. Greta Thunberg is woefully uninformed about energy &amp; climate,-2.2131027435904964
Greta Thunberg,RT @WIRED: ”People are suffering,-2.077926953098141
Greta Thunberg,RT @JenAshleyWright: Well,-1.3771346001925862
Greta Thunberg,"RT @evanmcmurry: Greta Thunberg to world leaders at #UNGA summit: ""We are at the beginning of a mass extinction and all you can talk about…",0.4861000059508269
Greta Thunberg,RT @SenWhitehouse: At some point,1.137707528903045
Greta Thunberg,RT @RepAdamSchiff: Greta Thunberg,0.015589737591750091
Greta Thunberg,RT @TXTrumpette89: SURPRISE! The Official Escort for 16-Year-Old Global Warming ‘Expert’ Greta Thunberg Is a Leftist Hack Funded by George…,2.5798036310920027
Greta Thunberg,RT @w_terrence: WHY EXPLOIT CHILDREN? ,0.1421683185962272
Greta Thunberg,RT @tonyposnanski: Fuck every single dumbfuck adult who attacks Greta Thunberg,0.7685711715041434
Greta Thunberg,RT @prageru: Despicable. ,-1.0122591006201431
 like Greta Thunberg, that climate change is going to kill them and everyone they…,1.332149156526603
Greta Thunberg,RT @w_terrence: WHY EXPLOIT CHILDREN? ,-0.2625231489479922
Greta Thunberg,RT @JordanUhl: Holy shit,0.8680933913934161
Greta Thunberg,RT @RepAdamSchiff: Greta Thunberg,0.3904003287526972
Greta Thunberg,RT @ProudResister: Trump: “Climate change is a hoax.”,-0.22504540381709653
Greta Thunberg,RT @WIRED: ”People are suffering,-1.1869857419452972
Greta Thunberg,RT @DavidWinterA: Greta Thunberg deserves the Nobel Peace Prize. After seeing Trump walk out of the Climate Change Meeting and walk past he…,-0.44729453326546476
Greta Thunberg,RT @WIRED: ”People are suffering,-2.029271616298954
Greta Thunberg,Swedish Teen Greta Thunberg Screams at World Leaders at UN Climate Summit,0.027855189018588297
Greta Thunberg,RT @_SJPeace_: Greta Thunberg,0.8197499530089891
Greta Thunberg,RT @RealCandaceO: One day,-0.4111836092257211
Greta Thunberg,RT @WayneDupreeShow: Where are this child's parents? People are calling this abuse. What say you? ,-0.8072296803931758
Greta Thunberg,RT @JordanUhl: Holy shit,0.4696098797841749
Greta Thunberg,RT @TheCrushedBones: Wherever Greta Thunberg goes,-2.1389320437255646
Greta Thunberg,RT @FredrikSewell: Anyone who’s got a problem with Greta Thunberg can pretty much fuck off.,0.812551432461437
Greta Thunberg,RT @RealCandaceO: One day,0.5865866476887625
Greta Thunberg,RT @OliverMcGee: Retweet #GretaThunberg is a #ClimateChange Actor Play Acting at @UN!,-0.9875517521963952
Greta Thunberg,RT @NBCNews: WATCH: Greta Thunberg passionately shares her message to world leaders at #UNGA:,-0.20089708037393067
Greta Thunberg,RT @RealCandaceO: One day,2.3304573288721744
Greta Thunberg,RT @debbie_marney41: @Bill_Maxwell_ @EileenMarieSar1 #GRETA says “How Dare YOU!”,-0.09574607103619795
Greta Thunberg,RT @MyDaughtersArmy: We are all Greta Thunberg.,-1.6435496037035544
Greta Thunberg,RT @GretaThunberg: “People are suffering. People are dying. Entire ecosystems are collapsing. We are in the beginning of a mass extinction.…,0.07785688118288278
Greta Thunberg,"RT @CNN: ""You have stolen my dreams and my childhood with your empty words",-0.7670024097283124
Greta Thunberg,RT @girlsreallyrule: Here is 84 year-old anthropologist Jane Goodall with 16 year-old climate activist Greta Thunberg at an event in Switze…,0.431866017522037
Greta Thunberg,RT @JordanUhl: Here's 55-year-old @greggutfeld absolutely losing his shit over Greta Thunberg,-0.9121445625461548
Greta Thunberg,RT @TXTrumpette89: SURPRISE! The Official Escort for 16-Year-Old Global Warming ‘Expert’ Greta Thunberg Is a Leftist Hack Funded by George…,-1.6817232942678464
Greta Thunberg,RT @ValerieComplex: I hope the same energy given to Greta Thunberg is the same energy you give to Little Miss Flint because Flint still wit…,0.8169473170040286
Greta Thunberg,RT @redsteeze: When you hide behind teenage kids like David Hogg and Greta Thunberg and use them for human shields like you are now,-0.254662866570886
